번호,구분,이름(가칭),효과,수치,중복 획득,상태,비고
R01,유물,튼튼한 몸,최대 체력 증가,최대 체력 +1,불가,확정,
R02,유물,강인한 몸,최대 체력 증가,최대 체력 +2,불가,확정,R01과 별개 유물
R03,유물,황금 손,골드 획득량 증가,미정,불가,미정,증가 수치 미정
R04,유물,재생의 씨앗,사망 시 1회 부활,부활 1회,불가,미정,부활 시 회복 체력량 미정
R05,유물,대형 폭약,폭탄 폭발 범위 증가,3x3 → 5x5,불가,확정,"폭탄 가치 급상승, 테스트 주의"
R06,유물,진한 포션,포션 회복량 증가,회복 2 → 3,불가,확정,
R07,유물,정화의 씨앗,블록(벽) 처치 시 확률적 체력 회복,미정,불가,미정,발동 확률·회복량 미정
R08,유물,폭탄 주머니,폭탄 보유 수 증가,폭탄 +5,불가,조정예정,"폭탄 희소성과 충돌 가능, 테스트 후 조정"
R09,유물,방폭 장비,폭발 피해 면역,폭발 피해 0,불가,확정,자신의 폭탄 피해 무효
R10,유물,정화 필터,상태이상 데미지 면역,상태이상 데미지 0,불가,미정,상태이상 기믹 자체가 미정
C01,일회성,정화의 물약,맵 전체 적에게 데미지,전체 1데미지,가능(소모품),확정,
C02,일회성,대청소 물약,맵의 일반 몬스터 처치,일반 몬스터 5마리 처치,가능(소모품),미정,5마리 선정 기준 미정(근접순/랜덤 등)
